loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
LOAN_00000000,1,2020-04,2020-04,1,180,294228,293174.18,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2020-04-11,Primary,,0,1,0,0,Current,0,none
LOAN_00000000,2,2020-05,2020-04,2,179,294228,292115.51,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2020-05-21,Primary,Complete,0,1,0,0,Current,0,none
LOAN_00000000,3,2020-06,2020-04,3,178,294228,291051.97,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2020-06-19,Primary,Missing,0,1,0,0,Current,0,none
LOAN_00000000,4,2020-07,2020-04,4,177,294228,289983.54,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2020-07-07,Primary,Missing,1,1,0,0,Current,1,business_rule
LOAN_00000000,5,2020-08,2020-04,5,176,294228,288910.19,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2020-08-20,Primary,Missing,1,1,0,0,Current,1,business_rule
LOAN_00000000,6,2020-09,2020-04,6,175,294228,287831.91,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2020-09-25,Primary,Complete,1,1,0,0,30-59 DPD,1,servicer_conflict
LOAN_00000000,7,2020-10,2020-04,7,174,294228,286748.67,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,30-59 DPD,54.0,0,0,0,NA,2020-10-06,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000000,8,2020-11,2020-04,8,173,294228,285660.44,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2020-11-12,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000000,9,2020-12,2020-04,9,172,294228,284567.21,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2020-12-26,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000000,10,2021-01,2020-04,10,171,294228,283468.96,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-01-25,Primary,Complete,0,0,1,0,Current,1,pattern_anomaly
LOAN_00000000,11,2021-02,2020-04,11,170,294228,282365.65,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-02-10,Primary,Complete,0,1,1,0,Current,1,pattern_anomaly
LOAN_00000000,12,2021-03,2020-04,12,169,294228,281257.26,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-03-19,Primary,Complete,0,1,1,0,Current,1,pattern_anomaly
LOAN_00000000,13,2021-04,2020-04,13,168,294228,280143.78,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-04-12,Primary,Complete,0,1,1,0,Current,1,pattern_anomaly
LOAN_00000000,14,2021-05,2020-04,14,167,294228,279025.18,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-05-04,Primary,Complete,1,1,1,0,Current,1,business_rule
LOAN_00000000,15,2021-06,2020-04,15,166,294228,277901.43,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-06-14,Primary,Complete,1,1,1,0,Current,1,servicer_conflict
LOAN_00000000,16,2021-07,2020-04,16,165,294228,276772.52,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-07-04,Primary,Complete,1,1,1,0,30-59 DPD,1,pattern_anomaly
LOAN_00000000,17,2021-08,2020-04,17,164,294228,275638.41,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,30-59 DPD,47.0,0,0,0,NA,2021-08-05,Primary,Complete,1,1,1,0,90+ DPD,1,pattern_anomaly
LOAN_00000000,18,2021-09,2020-04,18,163,294228,274499.08,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,90+ DPD,149.0,0,0,0,NA,2021-09-14,Primary,Incomplete,1,1,1,0,60-89 DPD,1,data_quality
LOAN_00000000,19,2021-10,2020-04,19,162,294228,273354.52,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,60-89 DPD,83.0,0,0,0,NA,2021-10-25,Primary,Complete,1,1,1,0,60-89 DPD,1,business_rule
LOAN_00000000,20,2021-11,2020-04,20,161,294228,272204.69,,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,60-89 DPD,67.0,1,0,0,NA,2021-11-19,Primary,Complete,1,1,1,0,60-89 DPD,1,business_rule
LOAN_00000000,21,2021-12,2020-04,21,160,294228,271049.57,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,60-89 DPD,80.0,1,0,0,NA,2021-12-09,Primary,Complete,0,0,1,0,Defaulted,1,data_quality
LOAN_00000000,22,2022-01,2020-04,22,159,294228,0.0,0.0552,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,Defaulted,226.0,0,0,1,Medium,2022-01-24,Primary,Complete,0,0,0,0,Defaulted,0,none
LOAN_00000001,1,2022-04,2022-04,1,360,161518,161339.66,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-04-12,Primary,Missing,0,0,0,0,Current,0,none
LOAN_00000001,2,2022-05,2022-04,2,359,161518,161160.51,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-05-24,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000001,3,2022-06,2022-04,3,358,161518,160980.55,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-06-07,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000001,4,2022-07,2022-04,4,357,161518,160799.77,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-07-25,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000001,5,2022-08,2022-04,5,356,161518,160618.16,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-08-28,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000001,6,2022-09,2022-04,6,355,161518,160435.74,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-09-04,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000001,7,2022-10,2022-04,7,354,161518,160252.48,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-10-23,Primary,Missing,0,0,0,0,Current,0,none
LOAN_00000001,8,2022-11,2022-04,8,353,161518,160068.39,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-11-22,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000001,9,2022-12,2022-04,9,352,161518,159883.46,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-12-07,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000001,10,2023-01,2022-04,10,351,161518,159697.69,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-01-12,Servicer,Complete,0,0,0,1,Current,0,none
LOAN_00000001,11,2023-02,2022-04,11,350,161518,159511.08,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-02-10,Primary,Complete,0,0,0,1,Current,0,none
