loan_id,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,origination_month,term_months
LOAN_00000000,294228,0.05519326087764719,660-699,80-90%,>50%,TN,Cash-out Refinance,Primary,SFR,Servicer_E,2020-04,180
LOAN_00000001,161518,0.05453617385930698,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,2022-04,360
LOAN_00000002,272417,0.052769687574109686,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,2021-12,360
LOAN_00000003,185627,0.04349641929195178,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,2021-04,360
LOAN_00000004,258150,0.06938381907822266,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,2021-04,360
LOAN_00000005,82457,0.05064595359239815,700-739,<60%,43-50%,IL,Purchase,Primary,SFR,Servicer_B,2022-07,180
LOAN_00000006,168720,0.07211293746655219,<620,<60%,20-30%,PA,Refinance,Primary,SFR,Servicer_A,2020-04,360
LOAN_00000007,616592,0.0551529203824487,660-699,>100%,<20%,VA,Purchase,Primary,SFR,Servicer_D,2022-02,360
LOAN_00000008,449188,0.06278114716976854,620-659,90-100%,36-43%,IL,Purchase,Primary,SFR,Servicer_B,2020-08,360
LOAN_00000009,573503,0.061692515715564195,620-659,>100%,30-36%,GA,Purchase,Primary,2-4 Unit,Servicer_D,2020-04,360
LOAN_00000010,593540,0.045108703115789774,740-779,>100%,>50%,MA,Refinance,Investment,SFR,Servicer_C,2021-07,360
LOAN_00000011,415190,0.059406435058629865,620-659,90-100%,30-36%,MO,Cash-out Refinance,Primary,SFR,Servicer_E,2022-12,360
LOAN_00000012,236467,0.07813999533360527,<620,70-80%,<20%,AZ,Purchase,Primary,SFR,Servicer_D,2022-03,180
LOAN_00000013,176552,0.05801934703720428,620-659,60-70%,20-30%,NJ,Refinance,Primary,Condo,Servicer_D,2022-04,180
LOAN_00000014,526166,0.0658153208747161,<620,90-100%,30-36%,AZ,Cash-out Refinance,Primary,SFR,Servicer_C,2022-02,240
LOAN_00000015,306288,0.06331926213510622,620-659,80-90%,36-43%,NC,Refinance,Second Home,SFR,Servicer_C,2022-05,360
LOAN_00000016,1032002,0.058684595900379846,620-659,>100%,20-30%,PA,Refinance,Primary,SFR,Servicer_A,2021-07,180
LOAN_00000017,247075,0.057237744612696956,620-659,70-80%,36-43%,MA,Refinance,Primary,SFR,Servicer_D,2020-05,240
LOAN_00000018,795278,0.061567786709455605,620-659,>100%,>50%,FL,Cash-out Refinance,Primary,SFR,Servicer_D,2022-07,360
LOAN_00000019,274197,0.06415939055770735,<620,70-80%,30-36%,MD,Purchase,Second Home,Condo,Servicer_B,2021-05,240
LOAN_00000020,578401,0.03877403131538713,780+,>100%,36-43%,NC,Refinance,Primary,SFR,Servicer_A,2021-07,240
LOAN_00000021,692695,0.057967634669157456,620-659,>100%,20-30%,IN,Purchase,Primary,SFR,Servicer_D,2021-02,360
LOAN_00000022,177819,0.052791065431032194,660-699,60-70%,43-50%,TX,Purchase,Primary,SFR,Servicer_D,2020-07,360
