loan_id,reporting_month,servicer_current_balance,servicer_current_status,servicer_days_past_due,servicer_last_updated
LOAN_00004116,2022-01,344384.7,Current,0,2022-01-02
LOAN_00003482,2022-06,185924.68,Current,0,2022-06-28
LOAN_00003699,2024-04,626642.29,Current,0,2024-04-21
LOAN_00000039,2023-03,320869.94,Current,0,2023-03-08
LOAN_00003178,2022-07,260847.9,Current,0,2022-07-19
LOAN_00000451,2024-02,0.0,Defaulted,169,2024-02-01
LOAN_00001642,2021-10,486515.5,Current,0,2021-10-25
LOAN_00000597,2024-05,266665.72,Current,0,2024-05-22
LOAN_00002143,2023-07,225791.9,Current,0,2023-07-01
LOAN_00004471,2024-05,120259.04,Current,0,2024-05-01
LOAN_00000027,2023-04,266019.87,Current,0,2023-04-05
LOAN_00002800,2024-02,202367.71,Current,0,2024-02-25
LOAN_00000632,2021-09,296495.67,Current,0,2021-09-03
LOAN_00000314,2021-07,243827.34,90+ DPD,172,2021-07-28
LOAN_00002477,2022-05,113479.07,Current,0,2022-05-26
LOAN_00000037,2023-09,100121.48,Current,0,2023-09-02
LOAN_00001728,2022-05,225203.47,Current,0,2022-05-18
LOAN_00002548,2022-07,369822.62,Current,0,2022-07-24
LOAN_00001419,2021-09,260448.88,Current,0,2021-09-17
LOAN_00003866,2023-02,187202.68,30-59 DPD,53,2023-02-14
LOAN_00003688,2024-06,405244.99,Current,0,2024-06-09
LOAN_00001292,2022-09,142493.68,30-59 DPD,45,2022-09-16
LOAN_00003998,2023-06,318345.79,30-59 DPD,58,2023-06-25
LOAN_00004241,2022-04,513929.75,Current,0,2022-04-05
LOAN_00003412,2022-06,270890.58,Current,0,2022-06-27
LOAN_00004634,2021-11,387091.31,Current,0,2021-11-28
LOAN_00001461,2022-12,358001.88,Current,0,2022-12-08
LOAN_00003504,2021-01,229192.2,Current,0,2021-01-09
LOAN_00002216,2022-06,135646.77,Current,0,2022-06-03
LOAN_00002955,2024-08,224083.15,Current,0,2024-08-18
LOAN_00001222,2024-05,797175.87,Current,0,2024-05-07
LOAN_00001370,2023-04,329794.14,Current,0,2023-04-13
LOAN_00003488,2023-05,218964.45,Current,0,2023-05-04
