name,source,transformation,as_of_logic,dtype,description
original_balance,static,passthrough,origination,original,Original original_balance
interest_rate,static,passthrough,origination,original,Original interest_rate
credit_score_band,static,passthrough,origination,original,Original credit_score_band
ltv_band,static,passthrough,origination,original,Original ltv_band
dti_band,static,passthrough,origination,original,Original dti_band
state,static,passthrough,origination,original,Original state
loan_purpose,static,passthrough,origination,original,Original loan_purpose
occupancy_type,static,passthrough,origination,original,Original occupancy_type
property_type,static,passthrough,origination,original,Original property_type
servicer_name,static,passthrough,origination,original,Original servicer_name
origination_month,static,passthrough,origination,original,Original origination_month
term_months,static,passthrough,origination,original,Original term_months
loan_age_months,panel,passthrough,reporting_month,original,Current loan_age_months
remaining_term_months,panel,passthrough,reporting_month,original,Current remaining_term_months
current_balance,panel,passthrough,reporting_month,original,Current current_balance
current_status,panel,passthrough,reporting_month,original,Current current_status
days_past_due,panel,passthrough,reporting_month,original,Current days_past_due
modification_flag,panel,passthrough,reporting_month,original,Current modification_flag
prepayment_flag,panel,passthrough,reporting_month,original,Current prepayment_flag
default_flag,panel,passthrough,reporting_month,original,Current default_flag
loss_severity_band,panel,passthrough,reporting_month,original,Current loss_severity_band
document_status,panel,passthrough,reporting_month,original,Current document_status
credit_score_band_encoded,credit_score_band,ordinal_encoding,origination,int,Ordinal encoded credit_score_band
ltv_band_encoded,ltv_band,ordinal_encoding,origination,int,Ordinal encoded ltv_band
dti_band_encoded,dti_band,ordinal_encoding,origination,int,Ordinal encoded dti_band
current_status_encoded,current_status,ordinal_encoding,reporting_month,int,Ordinal encoded current_status
state_AZ,state,onehot,origination,int,One-hot for state
state_CA,state,onehot,origination,int,One-hot for state
state_FL,state,onehot,origination,int,One-hot for state
state_GA,state,onehot,origination,int,One-hot for state
state_IL,state,onehot,origination,int,One-hot for state
state_IN,state,onehot,origination,int,One-hot for state
state_MA,state,onehot,origination,int,One-hot for state
state_MD,state,onehot,origination,int,One-hot for state
state_MI,state,onehot,origination,int,One-hot for state
state_MO,state,onehot,origination,int,One-hot for state
state_NC,state,onehot,origination,int,One-hot for state
state_NJ,state,onehot,origination,int,One-hot for state
state_NY,state,onehot,origination,int,One-hot for state
state_OH,state,onehot,origination,int,One-hot for state
state_PA,state,onehot,origination,int,One-hot for state
state_TN,state,onehot,origination,int,One-hot for state
state_TX,state,onehot,origination,int,One-hot for state
state_VA,state,onehot,origination,int,One-hot for state
state_WA,state,onehot,origination,int,One-hot for state
state_WI,state,onehot,origination,int,One-hot for state
loan_purpose_Cash-out Refinance,loan_purpose,onehot,origination,int,One-hot for loan_purpose
loan_purpose_Purchase,loan_purpose,onehot,origination,int,One-hot for loan_purpose
loan_purpose_Refinance,loan_purpose,onehot,origination,int,One-hot for loan_purpose
